Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
LU-165	LU_165-sc-2152852	ERS570580	EGAN00001236673	Homo sapiens	NCBI Taxonomy	9606	LU-165	lung	small cell lung carcinoma	male	  	753589	P-MTAB-68143	12202141_ERX710298	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710298	sequencing assay	ERX710298	EGAX00001272268	ERR767025	ERR767025	EGAR00001299712	14725_6.cram	HUMAN_37_RNA_seq_LU-165_14725_6.ua.bam	LU-165	lung	small cell lung carcinoma
M059J	  	  	EGAN00001266162	Homo sapiens	NCBI Taxonomy	9606	M059J	brain	glioblastoma multiforme	male	  	949094	P-MTAB-68143	Extract_M059J	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_M059J	sequencing assay	  	  	ERR975433	ERR975433	EGAR00001342576	16082_6.cram	HUMAN_37_RNA_seq_M059J_16082_6.ua.bam	M059J	brain	glioblastoma multiforme
M14	M14-sc-2188526	ERS622667	EGAN00001252842	Homo sapiens	NCBI Taxonomy	9606	M14	skin	melanoma	male	  	905975	P-MTAB-68143	12974903_ERX979535	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979535	sequencing assay	ERX979535	EGAX00001300757	ERR900146	ERR900146	EGAR00001329471	15545_8.cram	HUMAN_37_RNA_seq_M14_15545_8.ua.bam	M14	skin	melanoma
MC-1010	  	  	EGAN00001266163	Homo sapiens	NCBI Taxonomy	9606	MC-1010	hematopoietic system	acute myeloid leukemia	male	  	907798	P-MTAB-68143	Extract_MC-1010	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MC-1010	sequencing assay	  	  	ERR975434	ERR975434	EGAR00001342577	16082_7.cram	HUMAN_37_RNA_seq_MC-1010_16082_7.ua.bam	MC-1010	hematopoietic system	acute myeloid leukemia
MC-CAR	MC_CAR-sc-2188548	ERS622689	EGAN00001252864	Homo sapiens	NCBI Taxonomy	9606	MC-CAR	hematopoietic system	plasmacytoma	male	  	683665	P-MTAB-68143	12974925_ERX979548	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979548	sequencing assay	ERX979548	EGAX00001300770	ERR900159	ERR900159	EGAR00001329484	15551_6.cram	HUMAN_37_RNA_seq_MC-CAR_15551_6.ua.bam	MC-CAR	hematopoietic system	plasmacytoma
MC-IXC	  	  	EGAN00001266164	Homo sapiens	NCBI Taxonomy	9606	MC-IXC	brain	neuroblastoma	female	supraorbital area	908118	P-MTAB-68143	Extract_MC-IXC	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MC-IXC	sequencing assay	  	  	ERR975435	ERR975435	EGAR00001342578	16082_8.cram	HUMAN_37_RNA_seq_MC-IXC_16082_8.ua.bam	MC-IXC	brain	neuroblastoma
MCC13	MCC13-sc-2188527	ERS622668	EGAN00001252843	Homo sapiens	NCBI Taxonomy	9606	MCC13	skin	Merkel cell carcinoma	female	lymph node	1333003	P-MTAB-68143	12974904_ERX979513	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979513	sequencing assay	ERX979513	EGAX00001300735	ERR900124	ERR900124	EGAR00001329449	15529_1.cram	HUMAN_37_RNA_seq_MCC13_15529_1.ua.bam	MCC13	skin	Merkel cell carcinoma
MCC26	MCC26-sc-2188547	ERS622688	EGAN00001252863	Homo sapiens	NCBI Taxonomy	9606	MCC26	skin	Merkel cell carcinoma	female	  	1298234	P-MTAB-68143	12974924_ERX979547	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979547	sequencing assay	ERX979547	EGAX00001300769	ERR900158	ERR900158	EGAR00001329483	15551_5.cram	HUMAN_37_RNA_seq_MCC26_15551_5.ua.bam	MCC26	skin	Merkel cell carcinoma
MDA-MB-330	MDA_MB_330-sc-2188528	ERS622669	EGAN00001252844	Homo sapiens	NCBI Taxonomy	9606	MDA-MB-330	breast	invasive lobular carcinoma	female	  	1330941	P-MTAB-68143	12974905_ERX979514	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979514	sequencing assay	ERX979514	EGAX00001300736	ERR900125	ERR900125	EGAR00001329450	15529_2.cram	HUMAN_37_RNA_seq_MDA-MB-330_15529_2.ua.bam	MDA-MB-330	breast	invasive lobular carcinoma
MDA-MB-361	  	  	EGAN00001280537	Homo sapiens	NCBI Taxonomy	9606	MDA-MB-361	breast	breast adenocarcinoma	female	brain	908121	P-MTAB-68143	Extract_MDA-MB-361	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MDA-MB-361	sequencing assay	  	  	ERR1056394	ERR1056394	EGAR00001363353	16756_8#55.cram	HUMAN_37_RNA_seq_MDA-MB-361_16756_8_plx55.ua.bam	MDA-MB-361	breast	breast adenocarcinoma
MDST8	MDST8-sc-2152853	ERS570581	EGAN00001236674	Homo sapiens	NCBI Taxonomy	9606	MDST8	large intestine	colorectal adenocarcinoma	not available	  	1240173	P-MTAB-68143	12265821_ERX710299	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710299	sequencing assay	ERX710299	EGAX00001272269	ERR767026	ERR767026	EGAR00001299713	14725_7.cram	HUMAN_37_RNA_seq_MDST8_14725_7.ua.bam	MDST8	large intestine	colorectal adenocarcinoma
ME-180	  	  	EGAN00001266165	Homo sapiens	NCBI Taxonomy	9606	ME-180	uterine cervix	cervical carcinoma	female	peritoneum	687514	P-MTAB-68143	Extract_ME-180	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ME-180	sequencing assay	  	  	ERR975436	ERR975436	EGAR00001342579	16083_1.cram	HUMAN_37_RNA_seq_ME-180_16083_1.ua.bam	ME-180	uterine cervix	cervical carcinoma
MFH-ino	  	  	EGAN00001266166	Homo sapiens	NCBI Taxonomy	9606	MFH-ino	connective tissue	histiocytoma	female	  	925343	P-MTAB-68143	Extract_MFH-ino	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MFH-ino	sequencing assay	  	  	ERR975437	ERR975437	EGAR00001342580	16083_2.cram	HUMAN_37_RNA_seq_MFH-ino_16083_2.ua.bam	MFH-ino	connective tissue	histiocytoma
MFM-223	MFM_223-sc-2188529	ERS622670	EGAN00001252845	Homo sapiens	NCBI Taxonomy	9606	MFM-223	breast	ductal carcinoma	female	pleura	910948	P-MTAB-68143	12974906_ERX979515	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979515	sequencing assay	ERX979515	EGAX00001300737	ERR900126	ERR900126	EGAR00001329451	15529_3.cram	HUMAN_37_RNA_seq_MFM-223_15529_3.ua.bam	MFM-223	breast	ductal carcinoma
MHH-PREB-1	  	  	EGAN00001266167	Homo sapiens	NCBI Taxonomy	9606	MHH-PREB-1	hematopoietic system	B-cell acute lymphoblastic leukemia	male	  	908136	P-MTAB-68143	Extract_MHH-PREB-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MHH-PREB-1	sequencing assay	  	  	ERR975438	ERR975438	EGAR00001342581	16083_3.cram	HUMAN_37_RNA_seq_MHH-PREB-1_16083_3.ua.bam	MHH-PREB-1	hematopoietic system	B-cell acute lymphoblastic leukemia
MHM	MHM-sc-2152828	ERS570554	EGAN00001236649	Homo sapiens	NCBI Taxonomy	9606	MHM	bone	osteosarcoma	not available	  	not available	P-MTAB-68143	12341573_ERX941647	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX941647	sequencing assay	ERX941647	EGAX00001291968	ERR861997	ERR861997	EGAR00001320651	15223_2.cram	HUMAN_37_RNA_seq_MHM_15223_2.ua.bam	MHM	bone	osteosarcoma
MKN28	  	  	EGAN00001266168	Homo sapiens	NCBI Taxonomy	9606	MKN28	stomach	gastric adenocarcinoma	female	  	908139	P-MTAB-68143	Extract_MKN28	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MKN28	sequencing assay	  	  	ERR975439	ERR975439	EGAR00001342582	16083_4.cram	HUMAN_37_RNA_seq_MKN28_16083_4.ua.bam	MKN28	stomach	gastric adenocarcinoma
ML-2	  	  	EGAN00001266169	Homo sapiens	NCBI Taxonomy	9606	ML-2	hematopoietic system	acute myelomonocytic leukemia	male	  	908141	P-MTAB-68143	Extract_ML-2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ML-2	sequencing assay	  	  	ERR975440	ERR975440	EGAR00001342583	16083_5.cram	HUMAN_37_RNA_seq_ML-2_16083_5.ua.bam	ML-2	hematopoietic system	acute myelomonocytic leukemia
MLMA	  	  	EGAN00001266170	Homo sapiens	NCBI Taxonomy	9606	MLMA	hematopoietic system	hairy cell leukemia	female	  	908142	P-MTAB-68143	Extract_MLMA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MLMA	sequencing assay	  	  	ERR975441	ERR975441	EGAR00001342584	16083_6.cram	HUMAN_37_RNA_seq_MLMA_16083_6.ua.bam	MLMA	hematopoietic system	hairy cell leukemia
MMAC-SF	MMAC_SF-sc-2188549	ERS622690	EGAN00001252865	Homo sapiens	NCBI Taxonomy	9606	MMAC-SF	skin	melanoma	female	unspecified	925339	P-MTAB-68143	12974926_ERX979549	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979549	sequencing assay	ERX979549	EGAX00001300771	ERR900160	ERR900160	EGAR00001329485	15551_7.cram	HUMAN_37_RNA_seq_MMAC-SF_15551_7.ua.bam	MMAC-SF	skin	melanoma
MN-60	  	  	EGAN00001266171	Homo sapiens	NCBI Taxonomy	9606	MN-60	hematopoietic system	B-cell acute lymphoblastic leukemia	male	  	908143	P-MTAB-68143	Extract_MN-60	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MN-60	sequencing assay	  	  	ERR975442	ERR975442	EGAR00001342585	16083_7.cram	HUMAN_37_RNA_seq_MN-60_16083_7.ua.bam	MN-60	hematopoietic system	B-cell acute lymphoblastic leukemia
Mo-T	  	  	EGAN00001266175	Homo sapiens	NCBI Taxonomy	9606	Mo-T	hematopoietic system	hairy cell leukemia	male	  	908149	P-MTAB-68143	Extract_Mo-T	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Mo-T	sequencing assay	  	  	ERR975446	ERR975446	EGAR00001342589	16090_3.cram	HUMAN_37_RNA_seq_Mo-T_16090_3.ua.bam	Mo-T	hematopoietic system	hairy cell leukemia
MOG-G-CCM	  	  	EGAN00001266172	Homo sapiens	NCBI Taxonomy	9606	MOG-G-CCM	brain	anaplastic astrocytoma	not available	  	908144	P-MTAB-68143	Extract_MOG-G-CCM	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MOG-G-CCM	sequencing assay	  	  	ERR975443	ERR975443	EGAR00001342586	16083_8.cram	HUMAN_37_RNA_seq_MOG-G-CCM_16083_8.ua.bam	MOG-G-CCM	brain	anaplastic astrocytoma
MOG-G-UVW	  	  	EGAN00001266173	Homo sapiens	NCBI Taxonomy	9606	MOG-G-UVW	brain	anaplastic astrocytoma	not available	  	908145	P-MTAB-68143	Extract_MOG-G-UVW	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MOG-G-UVW	sequencing assay	  	  	ERR975444	ERR975444	EGAR00001342587	16090_1.cram	HUMAN_37_RNA_seq_MOG-G-UVW_16090_1.ua.bam	MOG-G-UVW	brain	anaplastic astrocytoma
MOLT-4	  	  	EGAN00001266174	Homo sapiens	NCBI Taxonomy	9606	MOLT-4	hematopoietic system	acute lymphoblastic leukemia	male	  	905958	P-MTAB-68143	Extract_MOLT-4	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MOLT-4	sequencing assay	  	  	ERR975445	ERR975445	EGAR00001342588	16090_2.cram	HUMAN_37_RNA_seq_MOLT-4_16090_2.ua.bam	MOLT-4	hematopoietic system	acute lymphoblastic leukemia
MRK-nu-1	MRK_nu_1-sc-2188530	ERS622671	EGAN00001252846	Homo sapiens	NCBI Taxonomy	9606	MRK-nu-1	breast	breast carcinoma	female	  	908151	P-MTAB-68143	12974907_ERX979516	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979516	sequencing assay	ERX979516	EGAX00001300738	ERR900127	ERR900127	EGAR00001329452	15529_4.cram	HUMAN_37_RNA_seq_MRK-nu-1_15529_4.ua.bam	MRK-nu-1	breast	breast carcinoma
MS-1	MS_1-sc-2152854	ERS570582	EGAN00001236675	Homo sapiens	NCBI Taxonomy	9606	MS-1	lung	small cell lung carcinoma	not available	  	753594	P-MTAB-68143	12265822_ERX710300	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710300	sequencing assay	ERX710300	EGAX00001272270	ERR767027	ERR767027	EGAR00001299714	14725_8.cram	HUMAN_37_RNA_seq_MS-1_14725_8.ua.bam	MS-1	lung	small cell lung carcinoma
MS751	  	  	EGAN00001266176	Homo sapiens	NCBI Taxonomy	9606	MS751	uterine cervix	cervical carcinoma	female	lymph node	1240179	P-MTAB-68143	Extract_MS751	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MS751	sequencing assay	  	  	ERR975447	ERR975447	EGAR00001342590	16090_4.cram	HUMAN_37_RNA_seq_MS751_16090_4.ua.bam	MS751	uterine cervix	cervical carcinoma
MY-M12	  	  	EGAN00001266177	Homo sapiens	NCBI Taxonomy	9606	MY-M12	hematopoietic system	acute leukemia	female	  	1330960	P-MTAB-68143	Extract_MY-M12	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MY-M12	sequencing assay	  	  	ERR975448	ERR975448	EGAR00001342591	16090_5.cram	HUMAN_37_RNA_seq_MY-M12_16090_5.ua.bam	MY-M12	hematopoietic system	acute leukemia
MZ1-PC	  	  	EGAN00001266178	Homo sapiens	NCBI Taxonomy	9606	MZ1-PC	pancreas	pancreatic adenocarcinoma	not available	  	753595	P-MTAB-68143	Extract_MZ1-PC	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_MZ1-PC	sequencing assay	  	  	ERR975449	ERR975449	EGAR00001342592	16090_6.cram	HUMAN_37_RNA_seq_MZ1-PC_16090_6.ua.bam	MZ1-PC	pancreas	pancreatic adenocarcinoma
MZ2-MEL	MZ2_MEL-sc-2188550	ERS622691	EGAN00001252866	Homo sapiens	NCBI Taxonomy	9606	MZ2-MEL	skin	melanoma	not available	  	971777	P-MTAB-68143	12974927_ERX979550	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979550	sequencing assay	ERX979550	EGAX00001300772	ERR900161	ERR900161	EGAR00001329486	15551_8.cram	HUMAN_37_RNA_seq_MZ2-MEL_15551_8.ua.bam	MZ2-MEL	skin	melanoma
MZ7-mel	MZ7_mel-sc-2188551	ERS622692	EGAN00001252867	Homo sapiens	NCBI Taxonomy	9606	MZ7-mel	skin	melanoma	female	  	753596	P-MTAB-68143	12974928_ERX979551	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979551	sequencing assay	ERX979551	EGAX00001300773	ERR900162	ERR900162	EGAR00001329487	15552_1.cram	HUMAN_37_RNA_seq_MZ7-mel_15552_1.ua.bam	MZ7-mel	skin	melanoma
NB-TU-1-10	  	  	EGAN00001266179	Homo sapiens	NCBI Taxonomy	9606	NB-TU-1-10	peripheral nervous system	adrenal gland neuroblastoma	female	  	1240181	P-MTAB-68143	Extract_NB-TU-1-10	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB-TU-1-10	sequencing assay	  	  	ERR975450	ERR975450	EGAR00001342593	16090_7.cram	HUMAN_37_RNA_seq_NB-TU-1-10_16090_7.ua.bam	NB-TU-1-10	peripheral nervous system	adrenal gland neuroblastoma
NB10	  	  	EGAN00001266180	Homo sapiens	NCBI Taxonomy	9606	NB10	peripheral nervous system	neuroblastoma	male	  	949171	P-MTAB-68143	Extract_NB10	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB10	sequencing assay	  	  	ERR975451	ERR975451	EGAR00001342594	16090_8.cram	HUMAN_37_RNA_seq_NB10_16090_8.ua.bam	NB10	peripheral nervous system	neuroblastoma
NB12	  	  	EGAN00001266181	Homo sapiens	NCBI Taxonomy	9606	NB12	peripheral nervous system	neuroblastoma	female	  	949172	P-MTAB-68143	Extract_NB12	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB12	sequencing assay	  	  	ERR975452	ERR975452	EGAR00001342595	16092_1.cram	HUMAN_37_RNA_seq_NB12_16092_1.ua.bam	NB12	peripheral nervous system	neuroblastoma
NB13	  	  	EGAN00001266182	Homo sapiens	NCBI Taxonomy	9606	NB13	peripheral nervous system	neuroblastoma	male	  	949177	P-MTAB-68143	Extract_NB13	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB13	sequencing assay	  	  	ERR975453	ERR975453	EGAR00001342596	16092_2.cram	HUMAN_37_RNA_seq_NB13_16092_2.ua.bam	NB13	peripheral nervous system	neuroblastoma
NB14	  	  	EGAN00001266183	Homo sapiens	NCBI Taxonomy	9606	NB14	peripheral nervous system	neuroblastoma	female	  	949178	P-MTAB-68143	Extract_NB14	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB14	sequencing assay	  	  	ERR975454	ERR975454	EGAR00001342597	16092_3.cram	HUMAN_37_RNA_seq_NB14_16092_3.ua.bam	NB14	peripheral nervous system	neuroblastoma
NB17	  	  	EGAN00001266184	Homo sapiens	NCBI Taxonomy	9606	NB17	peripheral nervous system	neuroblastoma	female	  	949175	P-MTAB-68143	Extract_NB17	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB17	sequencing assay	  	  	ERR975455	ERR975455	EGAR00001342598	16092_4.cram	HUMAN_37_RNA_seq_NB17_16092_4.ua.bam	NB17	peripheral nervous system	neuroblastoma
NB5	  	  	EGAN00001266185	Homo sapiens	NCBI Taxonomy	9606	NB5	peripheral nervous system	neuroblastoma	female	  	949176	P-MTAB-68143	Extract_NB5	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB5	sequencing assay	  	  	ERR975456	ERR975456	EGAR00001342599	16092_5.cram	HUMAN_37_RNA_seq_NB5_16092_5.ua.bam	NB5	peripheral nervous system	neuroblastoma
NB6	  	  	EGAN00001266186	Homo sapiens	NCBI Taxonomy	9606	NB6	peripheral nervous system	neuroblastoma	male	  	949173	P-MTAB-68143	Extract_NB6	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB6	sequencing assay	  	  	ERR975457	ERR975457	EGAR00001342600	16092_6.cram	HUMAN_37_RNA_seq_NB6_16092_6.ua.bam	NB6	peripheral nervous system	neuroblastoma
NB69	  	  	EGAN00001266187	Homo sapiens	NCBI Taxonomy	9606	NB69	peripheral nervous system	neuroblastoma	male	  	908440	P-MTAB-68143	Extract_NB69	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB69	sequencing assay	  	  	ERR975458	ERR975458	EGAR00001342601	16092_7.cram	HUMAN_37_RNA_seq_NB69_16092_7.ua.bam	NB69	peripheral nervous system	neuroblastoma
NB7	  	  	EGAN00001266188	Homo sapiens	NCBI Taxonomy	9606	NB7	peripheral nervous system	neuroblastoma	male	  	949174	P-MTAB-68143	Extract_NB7	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NB7	sequencing assay	  	  	ERR975459	ERR975459	EGAR00001342602	16092_8.cram	HUMAN_37_RNA_seq_NB7_16092_8.ua.bam	NB7	peripheral nervous system	neuroblastoma
NBsusSR	  	  	EGAN00001266284	Homo sapiens	NCBI Taxonomy	9606	NBsusSR	peripheral nervous system	neuroblastoma	male	  	925342	P-MTAB-68143	Extract_NBsusSR	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NBsusSR	sequencing assay	  	  	ERR983927	ERR983927	EGAR00001343436	16192_6.cram	HUMAN_37_RNA_seq_NBsusSR_16192_6.ua.bam	NBsusSR	peripheral nervous system	neuroblastoma
NCC010	NCC010-sc-2188552	ERS622693	EGAN00001252868	Homo sapiens	NCBI Taxonomy	9606	NCC010	kidney	renal cell carcinoma	not available	  	1509073	P-MTAB-68143	12974929_ERX989522	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX989522	sequencing assay	ERX989522	EGAX00001302122	ERR910267	ERR910267	EGAR00001330969	15688_3.cram	HUMAN_37_RNA_seq_NCC010_15688_3.ua.bam	NCC010	kidney	renal cell carcinoma
NCC021	NCC021-sc-2188553	ERS622694	EGAN00001252869	Homo sapiens	NCBI Taxonomy	9606	NCC021	kidney	renal cell carcinoma	not available	  	1509074	P-MTAB-68143	12974930_ERX979552	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979552	sequencing assay	ERX979552	EGAX00001300774	ERR900163	ERR900163	EGAR00001329488	15552_3.cram	HUMAN_37_RNA_seq_NCC021_15552_3.ua.bam	NCC021	kidney	renal cell carcinoma
NCCIT	  	  	EGAN00001266189	Homo sapiens	NCBI Taxonomy	9606	NCCIT	testis	testicular germ cell tumor	male	  	908441	P-MTAB-68143	Extract_NCCIT	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_NCCIT	sequencing assay	  	  	ERR975460	ERR975460	EGAR00001342603	16098_1.cram	HUMAN_37_RNA_seq_NCCIT_16098_1.ua.bam	NCCIT	testis	testicular germ cell tumor
NCI-H128	NCI_H128-sc-2152855	ERS570583	EGAN00001236676	Homo sapiens	NCBI Taxonomy	9606	NCI-H128	lung	small cell lung carcinoma	male	  	753597	P-MTAB-68143	12265823_ERX710301	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710301	sequencing assay	ERX710301	EGAX00001272271	ERR767028	ERR767028	EGAR00001299715	14726_1.cram	HUMAN_37_RNA_seq_NCI-H128_14726_1.ua.bam	NCI-H128	lung	small cell lung carcinoma
NCI-H1304	NCI_H1304-sc-2152856	ERS570584	EGAN00001236677	Homo sapiens	NCBI Taxonomy	9606	NCI-H1304	lung	small cell lung carcinoma	female	  	753599	P-MTAB-68143	12265824_ERX710302	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710302	sequencing assay	ERX710302	EGAX00001272272	ERR767029	ERR767029	EGAR00001299716	14726_2.cram	HUMAN_37_RNA_seq_NCI-H1304_14726_2.ua.bam	NCI-H1304	lung	small cell lung carcinoma
NCI-H1417	NCI_H1417-sc-2152857	ERS570585	EGAN00001236678	Homo sapiens	NCBI Taxonomy	9606	NCI-H1417	lung	small cell lung carcinoma	female	  	688001	P-MTAB-68143	12265825_ERX710303	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710303	sequencing assay	ERX710303	EGAX00001272273	ERR767030	ERR767030	EGAR00001299717	14726_3.cram	HUMAN_37_RNA_seq_NCI-H1417_14726_3.ua.bam	NCI-H1417	lung	small cell lung carcinoma
NCI-H1688	NCI_H1688-sc-2152858	ERS570586	EGAN00001236679	Homo sapiens	NCBI Taxonomy	9606	NCI-H1688	lung	small cell lung carcinoma	male	liver	1298349	P-MTAB-68143	12265826_ERX710304	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710304	sequencing assay	ERX710304	EGAX00001272274	ERR767031	ERR767031	EGAR00001299718	14726_4.cram	HUMAN_37_RNA_seq_NCI-H1688_14726_4.ua.bam	NCI-H1688	lung	small cell lung carcinoma
NCI-H1770	NCI_H1770-sc-2152859	ERS570587	EGAN00001236680	Homo sapiens	NCBI Taxonomy	9606	NCI-H1770	lung	lung carcinoma	male	lymph node	687804	P-MTAB-68143	12265827_ERX710305	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710305	sequencing assay	ERX710305	EGAX00001272275	ERR767032	ERR767032	EGAR00001299719	14726_5.cram	HUMAN_37_RNA_seq_NCI-H1770_14726_5.ua.bam	NCI-H1770	lung	lung carcinoma
NCI-H1836	NCI_H1836-sc-2152860	ERS570588	EGAN00001236681	Homo sapiens	NCBI Taxonomy	9606	NCI-H1836	lung	small cell lung carcinoma	male	  	1240182	P-MTAB-68143	12265828_ERX710306	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX710306	sequencing assay	ERX710306	EGAX00001272276	ERR767033	ERR767033	EGAR00001299720	14726_6.cram	HUMAN_37_RNA_seq_NCI-H1836_14726_6.ua.bam	NCI-H1836	lung	small cell lung carcinoma
